=====================  =======================  ============================  ====================
Baro_Pressure [KPa]    Temperature [Celsius]    Acceleration [m/s^2]          Magnetic_Field [T]
=====================  =======================  ============================  ====================
76.5020                15.0400                  [0. 0. 0.]                    [0. 0. 0.]
96.1374                12.1059                  [  0.2677   2.1424 185.0121]  [0. 0. 0.]
96.0901                12.0791                  [ -0.4206   2.1114 184.9663]  [0. 0. 0.]
96.0427                12.0522                  [ -0.979    1.6527 184.9228]  [0. 0. 0.]
95.9950                12.0252                  [ -1.1358   0.9138 184.8806]  [0. 0. 0.]
95.9472                11.9980                  [ -0.7605   0.2218 184.838 ]  [0. 0. 0.]
95.8992                11.9707                  [  0.0124  -0.0476 184.7929]  [0. 0. 0.]
95.8510                11.9433                  [  0.783    0.311  184.7442]  [0. 0. 0.]
95.8026                11.9158                  [  1.0709   1.1447 184.6926]  [0. 0. 0.]
95.7540                11.8882                  [  0.6312   1.9471 184.6411]  [0. 0. 0.]
95.7052                11.8604                  [ -0.297    2.1405 184.5928]  [0. 0. 0.]
95.6562                11.8326                  [ -1.0542   1.5172 184.5489]  [0. 0. 0.]
95.6071                11.8046                  [ -1.0104   0.5063 184.5069]  [0. 0. 0.]
95.5577                11.7765                  [ -0.1336  -0.0557 184.4624]  [0. 0. 0.]
95.5082                11.7482                  [  0.8437   0.3813 184.4121]  [0. 0. 0.]
95.4584                11.7199                  [  0.9839   1.4731 184.3581]  [0. 0. 0.]
95.4085                11.6914                  [  0.0789   2.1537 184.3061]  [0. 0. 0.]
95.3584                11.6628                  [ -0.975    1.6594 184.2606]  [0. 0. 0.]
95.3081                11.6341                  [ -0.9971   0.4655 184.2188]  [0. 0. 0.]
95.2576                11.6053                  [  0.1067  -0.0588 184.1731]  [0. 0. 0.]
95.2069                11.5763                  [  1.0329   0.7793 184.1197]  [0. 0. 0.]
95.1560                11.5472                  [  0.5636   1.9681 184.0642]  [0. 0. 0.]
95.1050                11.5181                  [ -0.7436   1.907  184.0155]  [0. 0. 0.]
95.0537                11.4888                  [ -1.0784   0.6116 183.9735]  [0. 0. 0.]
95.0023                11.4593                  [  0.1049  -0.0678 183.9279]  [0. 0. 0.]
94.9507                11.4298                  [  1.0584   0.9432 183.8728]  [0. 0. 0.]
94.8989                11.4001                  [  0.2441   2.1029 183.8168]  [0. 0. 0.]
94.8469                11.3703                  [ -1.0646   1.4873 183.7704]  [0. 0. 0.]
94.7947                11.3404                  [ -0.6336   0.0784 183.7284]  [0. 0. 0.]
94.7423                11.3104                  [  0.8376   0.3557 183.6768]  [0. 0. 0.]
94.6898                11.2803                  [  0.6717   1.868  183.6182]  [0. 0. 0.]
94.6370                11.2500                  [ -0.8739   1.77   183.5684]  [0. 0. 0.]
94.5841                11.2196                  [ -0.8008   0.1963 183.5267]  [0. 0. 0.]
94.5310                11.1891                  [  0.7942   0.294  183.4755]  [0. 0. 0.]
94.4777                11.1585                  [  0.6169   1.9045 183.4158]  [0. 0. 0.]
94.4242                11.1277                  [ -0.9997   1.5946 183.3666]  [0. 0. 0.]
94.3706                11.0969                  [ -0.5089  -0.0027 183.3245]  [0. 0. 0.]
94.3167                11.0659                  [  1.0224   0.7158 183.2693]  [0. 0. 0.]
94.2627                11.0348                  [  0.0367   2.1166 183.2102]  [0. 0. 0.]
94.2085                11.0036                  [ -1.1515   0.8486 183.1659]  [0. 0. 0.]
94.1541                10.9723                  [  0.3766  -0.0239 183.1191]  [0. 0. 0.]
94.0996                10.9408                  [  0.8188   1.698  183.0579]  [0. 0. 0.]
94.0448                10.9092                  [ -0.9789   1.6104 183.0065]  [0. 0. 0.]
93.9899                10.8775                  [ -0.307   -0.0837 182.964 ]  [0. 0. 0.]
93.9348                10.8457                  [  1.0539   1.1543 182.905 ]  [0. 0. 0.]
93.8795                10.8138                  [ -0.6291   1.9428 182.8484]  [0. 0. 0.]
93.8240                10.7818                  [ -0.6559   0.0625 182.8065]  [0. 0. 0.]
93.7684                10.7496                  [  1.0606   0.8707 182.7495]  [0. 0. 0.]
93.7125                10.7173                  [ -0.4718   2.0169 182.6905]  [0. 0. 0.]
93.6565                10.6849                  [ -0.7104   0.0972 182.6485]  [0. 0. 0.]
93.6003                10.6524                  [  1.0664   0.9009 182.5911]  [0. 0. 0.]
93.5440                10.6197                  [ -0.5949   1.9501 182.5323]  [0. 0. 0.]
93.4874                10.5870                  [ -0.4969  -0.0318 182.4902]  [0. 0. 0.]
93.4307                10.5541                  [  1.0413   1.2435 182.4299]  [0. 0. 0.]
93.3738                10.5211                  [ -0.9302   1.6461 182.3743]  [0. 0. 0.]
93.3167                10.4880                  [  0.052   -0.1304 182.3307]  [0. 0. 0.]
93.2595                10.4548                  [  0.71     1.8018 182.2663]  [0. 0. 0.]
93.2021                10.4214                  [ -1.1469   0.9204 182.2175]  [0. 0. 0.]
93.1445                10.3880                  [  0.8135   0.2541 182.1673]  [0. 0. 0.]
93.0867                10.3544                  [ -0.1932   2.074  182.1032]  [0. 0. 0.]
93.0287                10.3207                  [ -0.6105   0.0213 182.0606]  [0. 0. 0.]
92.9706                10.2868                  [  1.0088   1.3669 181.9989]  [0. 0. 0.]
92.9123                10.2529                  [ -1.1036   1.2592 181.9451]  [0. 0. 0.]
92.8538                10.2188                  [  0.6974   0.1244 181.897 ]  [0. 0. 0.]
92.7952                10.1847                  [ -0.1875   2.0677 181.8316]  [0. 0. 0.]
92.7364                10.1504                  [ -0.4473  -0.0638 181.7888]  [0. 0. 0.]
92.6774                10.1159                  [  0.8417   1.6636 181.7244]  [0. 0. 0.]
92.6182                10.0814                  [ -1.1111   0.7336 181.6747]  [0. 0. 0.]
92.5589                10.0468                  [  1.0619   0.7074 181.6198]  [0. 0. 0.]
92.4993                10.0120                  [ -0.9122   1.6259 181.5596]  [0. 0. 0.]
92.4397                9.9771                   [  0.5674   0.0148 181.5133]  [0. 0. 0.]
92.3798                9.9421                   [ -0.2472   2.0484 181.4467]  [0. 0. 0.]
92.3198                9.9070                   [ -0.132   -0.1472 181.4034]  [0. 0. 0.]
92.2596                9.8717                   [  0.4072   1.9884 181.336 ]  [0. 0. 0.]
92.1992                9.8364                   [ -0.6756   0.0647 181.291 ]  [0. 0. 0.]
92.1387                9.8009                   [  0.8319   1.6841 181.2262]  [0. 0. 0.]
92.0780                9.7653                   [ -0.9724   0.4002 181.1774]  [0. 0. 0.]
92.0171                9.7296                   [  1.0314   1.3549 181.1162]  [0. 0. 0.]
91.9561                9.6938                   [ -1.0862   0.6897 181.0637]  [0. 0. 0.]
91.8949                9.6578                   [  1.0965   1.1181 181.0052]  [0. 0. 0.]
91.8335                9.6218                   [ -1.1113   0.8608 180.9503]  [0. 0. 0.]
91.7720                9.5856                   [  1.1101   1.0134 180.893 ]  [0. 0. 0.]
91.7102                9.5493                   [ -1.1105   0.8947 180.8372]  [0. 0. 0.]
91.6484                9.5129                   [  1.1109   1.048  180.7797]  [0. 0. 0.]
91.5863                9.4764                   [ -1.0967   0.7896 180.7244]  [0. 0. 0.]
91.5241                9.4397                   [  1.0856   1.2203 180.6652]  [0. 0. 0.]
91.4617                9.4029                   [ -1.0312   0.5529 180.612 ]  [0. 0. 0.]
91.3992                9.3661                   [  0.9712   1.5112 180.5497]  [0. 0. 0.]
91.3365                9.3291                   [ -0.8309   0.2246 180.4997]  [0. 0. 0.]
91.2736                9.2919                   [  0.6732   1.8479 180.4335]  [0. 0. 0.]
91.2106                9.2547                   [ -0.4051  -0.0778 180.3869]  [0. 0. 0.]
91.1474                9.2174                   [  0.1284   2.0603 180.3176]  [0. 0. 0.]
91.0841                9.1799                   [  0.2502  -0.1342 180.2723]  [0. 0. 0.]
91.0205                9.1423                   [ -0.5712   1.898  180.2035]  [0. 0. 0.]
90.9569                9.1046                   [  0.9143   0.2932 180.1547]  [0. 0. 0.]
90.8930                9.0668                   [ -1.0635   1.2054 180.0919]  [0. 0. 0.]
90.8290                9.0288                   [  1.1097   1.1895 180.0341]  [0. 0. 0.]
90.7648                8.9908                   [ -0.8391   0.2522 179.9814]  [0. 0. 0.]
90.7005                8.9526                   [  0.4417   1.9874 179.9137]  [0. 0. 0.]
90.6360                8.9143                   [  0.1926  -0.1441 179.8674]  [0. 0. 0.]
90.5714                8.8759                   [ -0.7028   1.7964 179.7984]  [0. 0. 0.]
90.5066                8.8374                   [  1.1047   0.6734 179.7464]  [0. 0. 0.]
90.4416                8.7988                   [ -1.0073   0.5549 179.6887]  [0. 0. 0.]
90.3765                8.7600                   [  0.6037   1.9128 179.6226]  [0. 0. 0.]
90.3112                8.7211                   [  0.1998  -0.1409 179.5755]  [0. 0. 0.]
90.2457                8.6821                   [ -0.8196   1.6744 179.5068]  [0. 0. 0.]
90.1801                8.6430                   [  1.1458   1.0242 179.4517]  [0. 0. 0.]
90.1144                8.6038                   [ -0.7048   0.1309 179.3978]  [0. 0. 0.]
90.0485                8.5645                   [ -0.0617   2.0708 179.3282]  [0. 0. 0.]
89.9824                8.5250                   [  0.9348   0.3043 179.279 ]  [0. 0. 0.]
